wind ,Efficiency,VarOM,FixOM,CAPEX,Life,capacity,period,W1,W2,W3,W4,W5,W6
,,,,,,,105,0.052907018,0.11206,0.211645417,0.181105385,0.213615,0.44700361
,,,,,,,106,0.052764936,0.11206,0.211645417,0.181105385,0.213615,0.424843321
,,,,,,,107,0.052622855,0.0832725,0.189025833,0.175856923,0.319308,0.392080866
,,,,,,,108,0.052781691,0.0832725,0.189025833,0.175856923,0.319308,0.35932491
,,,,,,,109,0.052940527,0.053655,0.17145625,0.172146538,0.461808,0.347919134
,,,,,,,110,0.053373036,0.053655,0.17145625,0.172146538,0.461808,0.33651769
,,,,,,,111,0.053805545,0.034132,0.157955833,0.149855385,0.485562,0.324470036
,,,,,,,112,0.055866455,0.034132,0.157955833,0.149855385,0.485562,0.312426715
,,,,,,,113,0.057927364,0.016794,0.144914583,0.111984808,0.402078,0.292192058
,,,,,,,114,0.061671705,0.016794,0.144914583,0.111984808,0.402078,0.271961733
,,,,,,,115,0.065416045,0.009594,0.13055875,0.077345962,0.306,0.260558123
,,,,,,,116,0.070571432,0.009594,0.13055875,0.077345962,0.306,0.249158123
,,,,,,,117,0.075726818,0.005633,0.116972917,0.047297692,0.22786,0.252684477
,,,,,,,118,0.078958205,0.005633,0.116972917,0.047297692,0.22786,0.256215162
,,,,,,,119,0.082189591,0.008062,0.104282917,0.028238077,0.171792,0.266484477
,,,,,,,120,0.088845818,0.008062,0.104282917,0.028238077,0.171792,0.276756679
,,,,,,,121,0.095502045,0.015608,0.101959167,0.014092308,0.133875,0.273219495
,,,,,,,122,0.098138614,0.015608,0.101959167,0.014092308,0.133875,0.269685921
,,,,,,,123,0.100775182,0.0148375,0.089933167,0.008063846,0.116168,0.262618051
,,,,,,,124,0.100457227,0.0148375,0.089933167,0.008063846,0.116168,0.255553069
,,,,,,,125,0.100139273,0.01961,0.08032725,0.006198923,0.099978,0.242225271
,,,,,,,126,0.100660909,0.01961,0.08032725,0.006198923,0.099978,0.228900361
,,,,,,,127,0.101182545,0.0234155,0.073651167,0.005645038,0.085976,0.225846209
,,,,,,,128,0.101383523,0.0234155,0.073651167,0.005645038,0.085976,0.222794946
